id,plant_id,account_type,category,is_active,plant_name,unit,    plant_condition,year,compensation_price,notes
57,PLTA0025,A,ก,1,กันเกรา ต้นเลา ทำเสา มันปลา,ต้น,ไม่มีผล/ขนาดเล็ก,2559,500,
58,PLTA0025,A,ก,1,กันเกรา ต้นเลา ทำเสา มันปลา,ต้น,มีผล/ขนาดใหญ่,2559,"1,000",
59,PLTA0026,A,ก,1,กัลปพฤกษ์,ต้น,ไม่มีผล/ขนาดเล็ก,2559,400,
60,PLTA0026,A,ก,1,กัลปพฤกษ์,ต้น,มีผล/ขนาดใหญ่,2559,800,
61,PLTA0027,A,ก,1,กานพูล,ต้น,ไม่มีผล/ขนาดเล็ก,2559,150,
62,PLTA0027,A,ก,1,กานพูล,ต้น,มีผล/ขนาดใหญ่,2559,300,
63,PLTA0028,A,ก,1,กาแฟ,ต้น,ไม่มีผล/ขนาดเล็ก,2559,300,
64,PLTA0028,A,ก,1,กาแฟ,ต้น,มีผล/ขนาดใหญ่,2559,600,
65,PLTA0029,A,ก,1,การบูร,ต้น,ไม่มีผล/ขนาดเล็ก,2559,25,
66,PLTA0029,A,ก,1,การบูร,ต้น,มีผล/ขนาดใหญ่,2559,50,
67,PLTA0030,A,ก,1,การเวก,ต้น,ไม่มีผล/ขนาดเล็ก,2559,375,
68,PLTA0030,A,ก,1,การเวก,ต้น,มีผล/ขนาดใหญ่,2559,750,
69,PLTA0031,A,ก,1,กาหลง,ต้น,ไม่มีผล/ขนาดเล็ก,2559,600,
70,PLTA0031,A,ก,1,กาหลง,ต้น,มีผล/ขนาดใหญ่,2559,1200,
71,PLTA0032,A,ก,1,กางหลวง,ต้น,ไม่มีผล/ขนาดเล็ก,2559,,
72,PLTA0032,A,ก,1,กางหลวง,ต้น,มีผล/ขนาดใหญ่,2559,,
73,PLTA0033,A,ก,1,กุ่ม,ต้น,ไม่มีผล/ขนาดเล็ก,2559,200,
74,PLTA0033,A,ก,1,กุ่ม,ต้น,มีผล/ขนาดใหญ่,2559,400,
75,PLTA0034,A,ก,1,เกษมณี,ต้น,ไม่มีผล/ขนาดเล็ก,2559,507,
76,PLTA0034,A,ก,1,เกษมณี,ต้น,มีผล/ขนาดใหญ่,2559,900,
77,PLTA0035,A,ก,1,แก่นขี้หนู,ต้น,ไม่มีผล/ขนาดเล็ก,2559,200,
78,PLTA0035,A,ก,1,แก่นขี้หนู,ต้น,มีผล/ขนาดใหญ่,2559,400,
79,PLTA0036,A,ก,1,แก้ว,ต้น,ไม่มีผล/ขนาดเล็ก,2559,350,
80,PLTA0036,A,ก,1,แก้ว,ต้น,มีผล/ขนาดใหญ่,2559,350,
81,PLTA0037,A,ก,1,โกโก้,ต้น,ไม่มีผล/ขนาดเล็ก,2559,300,
82,PLTA0037,A,ก,1,โกโก้,ต้น,มีผล/ขนาดใหญ่,2559,600,
83,PLTA0038,A,ก,1,โกงกาง,ต้น,ไม่มีผล/ขนาดเล็ก,2559,10,
84,PLTA0038,A,ก,1,โกงกาง,ต้น,มีผล/ขนาดใหญ่,2559,20,
85,PLTA0039,A,ก,1,โกสน,ต้น,ไม่มีผล/ขนาดเล็ก,2559,180,
86,PLTA0039,A,ก,1,โกสน,ต้น,มีผล/ขนาดใหญ่,2559,360,
87,PLTA0040,A,ข,1,ขนุนพันธุ์ดี,ต้น,ไม่มีผล/ขนาดเล็ก,2559,2000,
88,PLTA0040,A,ข,1,ขนุนพันธุ์ดี,ต้น,มีผล/ขนาดใหญ่,2559,3300,
89,PLTA0041,A,ข,1,ขนุนพันธุ์พื้นเมือง,ต้น,ไม่มีผล/ขนาดเล็ก,2559,1500,
90,PLTA0041,A,ข,1,ขนุนพันธุ์พื้นเมือง,ต้น,มีผล/ขนาดใหญ่,2559,3000,
91,PLTA0042,A,ข,1,ขนุนละมุด,ต้น,ไม่มีผล/ขนาดเล็ก,2559,150,
92,PLTA0042,A,ข,1,ขนุนละมุด,ต้น,มีผล/ขนาดใหญ่,2559,300,
93,PLTA0043,A,ข,1,ขนุนสำปะลอ,ต้น,ไม่มีผล/ขนาดเล็ก,2559,900,
94,PLTA0043,A,ข,1,ขนุนสำปะลอ,ต้น,มีผล/ขนาดใหญ่,2559,1900,
95,PLTA0044,A,ข,1,ข่อย,ต้น,ไม่มีผล/ขนาดเล็ก,2559,500,
96,PLTA0044,A,ข,1,ข่อย,ต้น,มีผล/ขนาดใหญ่,2559,1000,
97,PLTA0045,A,ข,1,ข่อยดัด,ต้น,ไม่มีผล/ขนาดเล็ก,2559,1800,
98,PLTA0045,A,ข,1,ข่อยดัด,ต้น,มีผล/ขนาดใหญ่,2559,3600,
99,PLTA0046,A,ข,1,ขี้เถ้า,ต้น,ไม่มีผล/ขนาดเล็ก,2559,100,
100,PLTA0046,A,ข,1,ขี้เถ้า,ต้น,มีผล/ขนาดใหญ่,2559,200,
101,PLTA0047,A,ข,1,ขี้หนอน,ต้น,ไม่มีผล/ขนาดเล็ก,2559,100,
102,PLTA0047,A,ข,1,ขี้หนอน,ต้น,มีผล/ขนาดใหญ่,2559,200,
103,PLTA0048,A,ข,1,ขี้เหล็ก ทรงบาดาล,ต้น,ไม่มีผล/ขนาดเล็ก,2559,500,
104,PLTA0048,A,ข,1,ขี้เหล็ก ทรงบาดาล,ต้น,มีผล/ขนาดใหญ่,2559,800,
105,PLTA0049,A,ข,1,ขี้เหล็กใหญ่,ต้น,ไม่มีผล/ขนาดเล็ก,2559,,
106,PLTA0049,A,ข,1,ขี้เหล็กใหญ่,ต้น,มีผล/ขนาดใหญ่,2559,,
107,PLTA0050,A,ข,1,เข็มปัตตาเวีย,ต้น,ไม่มีผล/ขนาดเล็ก,2559,,
108,PLTA0050,A,ข,1,เข็มปัตตาเวีย,ต้น,มีผล/ขนาดใหญ่,2559,,
109,PLTA0051,A,ข,1,เข็มสามสี,ต้น,ไม่มีผล/ขนาดเล็ก,2559,,
110,PLTA0051,A,ข,1,เข็มสามสี,ต้น,มีผล/ขนาดใหญ่,2559,,
111,PLTA0052,A,ข,1,เขวา,ต้น,ไม่มีผล/ขนาดเล็ก,2559,100,
112,PLTA0052,A,ข,1,เขวา,ต้น,มีผล/ขนาดใหญ่,2559,200,
113,PLTA0053,A,ข,1,เขี้ยวกระแต,ต้น,ไม่มีผล/ขนาดเล็ก,2559,,
